region,country,food_category,food_category_type,product_type,consumption,co2_emmission
South America,Argentina,Pork,Other Meat (inc. Fish),Animal,10.51,37.2
South America,Argentina,Poultry,Poultry (inc. Eggs),Animal,38.66,41.53
South America,Argentina,Beef,Beef,Animal,55.48,1712
South America,Argentina,Lamb & Goat,Other Meat (inc. Fish),Animal,1.56,54.63
South America,Argentina,Fish,Other Meat (inc. Fish),Animal,4.36,6.96
South America,Argentina,Eggs,Poultry (inc. Eggs),Animal,11.39,10.46
South America,Argentina,Milk - inc. cheese,Milk (inc. cheese),Animal,195.08,277.87
South America,Argentina,Wheat and Wheat Products,Grains,Plant,103.11,19.66
South America,Argentina,Rice,Grains,Plant,8.77,11.22
South America,Argentina,Soybeans,Legumes,Plant,0,0
South America,Argentina,Nuts inc. Peanut Butter,Legumes,Plant,0.49,0.87
Oceania,Australia,Pork,Other Meat (inc. Fish),Animal,24.14,85.44
Oceania,Australia,Poultry,Poultry (inc. Eggs),Animal,46.12,49.54
Oceania,Australia,Beef,Beef,Animal,33.86,1044.85
Oceania,Australia,Lamb & Goat,Other Meat (inc. Fish),Animal,9.87,345.65
Oceania,Australia,Fish,Other Meat (inc. Fish),Animal,17.69,28.25
Oceania,Australia,Eggs,Poultry (inc. Eggs),Animal,8.51,7.82
Oceania,Australia,Milk - inc. cheese,Milk (inc. cheese),Animal,234.49,334.01
Oceania,Australia,Wheat and Wheat Products,Grains,Plant,70.46,13.44
Oceania,Australia,Rice,Grains,Plant,11.03,14.12
Oceania,Australia,Soybeans,Legumes,Plant,0.19,0.09
Oceania,Australia,Nuts inc. Peanut Butter,Legumes,Plant,8.73,15.45
Europe,Albania,Pork,Other Meat (inc. Fish),Animal,10.88,38.51
Europe,Albania,Poultry,Poultry (inc. Eggs),Animal,13.23,14.21
Europe,Albania,Beef,Beef,Animal,22.5,694.3
Europe,Albania,Lamb & Goat,Other Meat (inc. Fish),Animal,15.32,536.5
Europe,Albania,Fish,Other Meat (inc. Fish),Animal,3.85,6.15
Europe,Albania,Eggs,Poultry (inc. Eggs),Animal,12.45,11.44
Europe,Albania,Milk - inc. cheese,Milk (inc. cheese),Animal,303.72,432.62
Europe,Albania,Wheat and Wheat Products,Grains,Plant,138.64,26.44
Europe,Albania,Rice,Grains,Plant,7.78,9.96
Europe,Albania,Soybeans,Legumes,Plant,0,0
Europe,Albania,Nuts inc. Peanut Butter,Legumes,Plant,4.36,7.72
Europe,Iceland,Pork,Other Meat (inc. Fish),Animal,21.69,76.77
Europe,Iceland,Poultry,Poultry (inc. Eggs),Animal,26.87,28.86
Europe,Iceland,Beef,Beef,Animal,13.36,412.26
Europe,Iceland,Lamb & Goat,Other Meat (inc. Fish),Animal,21.12,739.62
Europe,Iceland,Fish,Other Meat (inc. Fish),Animal,74.41,118.81
Europe,Iceland,Eggs,Poultry (inc. Eggs),Animal,8.24,7.57
Europe,Iceland,Milk - inc. cheese,Milk (inc. cheese),Animal,225.82,321.66
Europe,Iceland,Wheat and Wheat Products,Grains,Plant,72.92,13.91
Europe,Iceland,Rice,Grains,Plant,3.89,4.98
Europe,Iceland,Soybeans,Legumes,Plant,0.11,0.05
Europe,Iceland,Nuts inc. Peanut Butter,Legumes,Plant,3.88,6.87
Oceania,New Zealand,Pork,Other Meat (inc. Fish),Animal,22.29,78.9
Oceania,New Zealand,Poultry,Poultry (inc. Eggs),Animal,34.98,37.58
Oceania,New Zealand,Beef,Beef,Animal,22.49,693.99
Oceania,New Zealand,Lamb & Goat,Other Meat (inc. Fish),Animal,18.91,662.23
Oceania,New Zealand,Fish,Other Meat (inc. Fish),Animal,20.36,32.51
Oceania,New Zealand,Eggs,Poultry (inc. Eggs),Animal,9.91,9.1
Oceania,New Zealand,Milk - inc. cheese,Milk (inc. cheese),Animal,137.25,195.5
Oceania,New Zealand,Wheat and Wheat Products,Grains,Plant,76.91,14.67
Oceania,New Zealand,Rice,Grains,Plant,9.16,11.72
Oceania,New Zealand,Soybeans,Legumes,Plant,0.44,0.2
Oceania,New Zealand,Nuts inc. Peanut Butter,Legumes,Plant,8.22,14.55
North America,USA,Pork,Other Meat (inc. Fish),Animal,27.64,97.83
North America,USA,Poultry,Poultry (inc. Eggs),Animal,50.01,53.72
North America,USA,Beef,Beef,Animal,36.24,1118.29
North America,USA,Lamb & Goat,Other Meat (inc. Fish),Animal,0.43,15.06
North America,USA,Fish,Other Meat (inc. Fish),Animal,12.35,19.72
North America,USA,Eggs,Poultry (inc. Eggs),Animal,14.58,13.39
North America,USA,Milk - inc. cheese,Milk (inc. cheese),Animal,254.69,362.78
North America,USA,Wheat and Wheat Products,Grains,Plant,80.43,15.34
North America,USA,Rice,Grains,Plant,6.88,8.8
North America,USA,Soybeans,Legumes,Plant,0.04,0.02
North America,USA,Nuts inc. Peanut Butter,Legumes,Plant,7.86,13.91
South America,Uruguay,Pork,Other Meat (inc. Fish),Animal,16.84,59.61
